column_name,display_name,category,dtype,unit,source,native_resolution,computation,coverage,notes
pca_cbs_knmi_02,PCA Component 2 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 75 CBS + KNMI validated features via sklearn PCA",Hourly,"StandardScaler → PCA(n_components=15); component 2",2018–2025 (CBS tariff + KNMI val intersection),See pca_cbs_knmi_01
pca_cbs_knmi_03,PCA Component 3 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 75 CBS + KNMI validated features via sklearn PCA",Hourly,"StandardScaler → PCA(n_components=15); component 3",2018–2025 (CBS tariff + KNMI val intersection),See pca_cbs_knmi_01
pca_cbs_knmi_04,PCA Component 4 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 75 CBS + KNMI validated features via sklearn PCA",Hourly,"StandardScaler → PCA(n_components=15); component 4",2018–2025 (CBS tariff + KNMI val intersection),See pca_cbs_knmi_01
pca_cbs_knmi_05,PCA Component 5 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 75 CBS + KNMI validated features via sklearn PCA",Hourly,"StandardScaler → PCA(n_components=15); component 5",2018–2025 (CBS tariff + KNMI val intersection),See pca_cbs_knmi_01
pca_cbs_knmi_06,PCA Component 6 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 75 CBS + KNMI validated features via sklearn PCA",Hourly,"StandardScaler → PCA(n_components=15); component 6",2018–2025 (CBS tariff + KNMI val intersection),See pca_cbs_knmi_01
pca_cbs_knmi_07,PCA Component 7 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 75 CBS + KNMI validated features via sklearn PCA",Hourly,"StandardScaler → PCA(n_components=15); component 7",2018–2025 (CBS tariff + KNMI val intersection),See pca_cbs_knmi_01
pca_cbs_knmi_08,PCA Component 8 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 75 CBS + KNMI validated features via sklearn PCA",Hourly,"StandardScaler → PCA(n_components=15); component 8",2018–2025 (CBS tariff + KNMI val intersection),See pca_cbs_knmi_01
pca_cbs_knmi_09,PCA Component 9 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 75 CBS + KNMI validated features via sklearn PCA",Hourly,"StandardScaler → PCA(n_components=15); component 9",2018–2025 (CBS tariff + KNMI val intersection),See pca_cbs_knmi_01
pca_cbs_knmi_10,PCA Component 10 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 75 CBS + KNMI validated features via sklearn PCA",Hourly,"StandardScaler → PCA(n_components=15); component 10",2018–2025 (CBS tariff + KNMI val intersection),See pca_cbs_knmi_01
pca_cbs_knmi_11,PCA Component 11 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 75 CBS + KNMI validated features via sklearn PCA",Hourly,"StandardScaler → PCA(n_components=15); component 11",2018–2025 (CBS tariff + KNMI val intersection),See pca_cbs_knmi_01
pca_cbs_knmi_12,PCA Component 12 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 75 CBS + KNMI validated features via sklearn PCA",Hourly,"StandardScaler → PCA(n_components=15); component 12",2018–2025 (CBS tariff + KNMI val intersection),See pca_cbs_knmi_01
pca_cbs_knmi_13,PCA Component 13 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 75 CBS + KNMI validated features via sklearn PCA",Hourly,"StandardScaler → PCA(n_components=15); component 13",2018–2025 (CBS tariff + KNMI val intersection),See pca_cbs_knmi_01
pca_cbs_knmi_14,PCA Component 14 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 75 CBS + KNMI validated features via sklearn PCA",Hourly,"StandardScaler → PCA(n_components=15); component 14",2018–2025 (CBS tariff + KNMI val intersection),See pca_cbs_knmi_01
pca_cbs_knmi_15,PCA Component 15 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 75 CBS + KNMI validated features via sklearn PCA",Hourly,"StandardScaler → PCA(n_components=15); component 15",2018–2025 (CBS tariff + KNMI val intersection),See pca_cbs_knmi_01
pca_cbs_knmi_full_01,PCA Full-Coverage Component 1 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 66 CBS + KNMI validated features via sklearn PCA (13 CBS tariff cols excluded for full temporal coverage)",Hourly,"StandardScaler → PCA(n_components=16); columns with >50% NaN excluded before fit; 13 CBS tariff columns (2018+ only) explicitly removed",2012–2025 (complete),"Largest variance direction; 95% cumulative variance at 16 components; NaN where any input feature is missing; full 2012–2025 coverage achieved by excluding CBS tariff data"
pca_cbs_knmi_full_02,PCA Full-Coverage Component 2 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 66 CBS + KNMI validated features via sklearn PCA (13 CBS tariff cols excluded)",Hourly,"StandardScaler → PCA(n_components=16); component 2",2012–2025 (complete),See pca_cbs_knmi_full_01
pca_cbs_knmi_full_03,PCA Full-Coverage Component 3 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 66 CBS + KNMI validated features via sklearn PCA (13 CBS tariff cols excluded)",Hourly,"StandardScaler → PCA(n_components=16); component 3",2012–2025 (complete),See pca_cbs_knmi_full_01
pca_cbs_knmi_full_04,PCA Full-Coverage Component 4 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 66 CBS + KNMI validated features via sklearn PCA (13 CBS tariff cols excluded)",Hourly,"StandardScaler → PCA(n_components=16); component 4",2012–2025 (complete),See pca_cbs_knmi_full_01
pca_cbs_knmi_full_05,PCA Full-Coverage Component 5 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 66 CBS + KNMI validated features via sklearn PCA (13 CBS tariff cols excluded)",Hourly,"StandardScaler → PCA(n_components=16); component 5",2012–2025 (complete),See pca_cbs_knmi_full_01
pca_cbs_knmi_full_06,PCA Full-Coverage Component 6 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 66 CBS + KNMI validated features via sklearn PCA (13 CBS tariff cols excluded)",Hourly,"StandardScaler → PCA(n_components=16); component 6",2012–2025 (complete),See pca_cbs_knmi_full_01
pca_cbs_knmi_full_07,PCA Full-Coverage Component 7 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 66 CBS + KNMI validated features via sklearn PCA (13 CBS tariff cols excluded)",Hourly,"StandardScaler → PCA(n_components=16); component 7",2012–2025 (complete),See pca_cbs_knmi_full_01
pca_cbs_knmi_full_08,PCA Full-Coverage Component 8 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 66 CBS + KNMI validated features via sklearn PCA (13 CBS tariff cols excluded)",Hourly,"StandardScaler → PCA(n_components=16); component 8",2012–2025 (complete),See pca_cbs_knmi_full_01
pca_cbs_knmi_full_09,PCA Full-Coverage Component 9 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 66 CBS + KNMI validated features via sklearn PCA (13 CBS tariff cols excluded)",Hourly,"StandardScaler → PCA(n_components=16); component 9",2012–2025 (complete),See pca_cbs_knmi_full_01
pca_cbs_knmi_full_10,PCA Full-Coverage Component 10 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 66 CBS + KNMI validated features via sklearn PCA (13 CBS tariff cols excluded)",Hourly,"StandardScaler → PCA(n_components=16); component 10",2012–2025 (complete),See pca_cbs_knmi_full_01
pca_cbs_knmi_full_11,PCA Full-Coverage Component 11 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 66 CBS + KNMI validated features via sklearn PCA (13 CBS tariff cols excluded)",Hourly,"StandardScaler → PCA(n_components=16); component 11",2012–2025 (complete),See pca_cbs_knmi_full_01
pca_cbs_knmi_full_12,PCA Full-Coverage Component 12 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 66 CBS + KNMI validated features via sklearn PCA (13 CBS tariff cols excluded)",Hourly,"StandardScaler → PCA(n_components=16); component 12",2012–2025 (complete),See pca_cbs_knmi_full_01
pca_cbs_knmi_full_13,PCA Full-Coverage Component 13 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 66 CBS + KNMI validated features via sklearn PCA (13 CBS tariff cols excluded)",Hourly,"StandardScaler → PCA(n_components=16); component 13",2012–2025 (complete),See pca_cbs_knmi_full_01
pca_cbs_knmi_full_14,PCA Full-Coverage Component 14 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 66 CBS + KNMI validated features via sklearn PCA (13 CBS tariff cols excluded)",Hourly,"StandardScaler → PCA(n_components=16); component 14",2012–2025 (complete),See pca_cbs_knmi_full_01
pca_cbs_knmi_full_15,PCA Full-Coverage Component 15 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 66 CBS + KNMI validated features via sklearn PCA (13 CBS tariff cols excluded)",Hourly,"StandardScaler → PCA(n_components=16); component 15",2012–2025 (complete),See pca_cbs_knmi_full_01
pca_cbs_knmi_full_16,PCA Full-Coverage Component 16 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 66 CBS + KNMI validated features via sklearn PCA (13 CBS tariff cols excluded)",Hourly,"StandardScaler → PCA(n_components=16); component 16",2012–2025 (complete),See pca_cbs_knmi_full_01
